19.003,0.004939
18.326,0.0070915
12.287,0.012816
8.4674,0.017289
5.5488,0.015632
21.237,0.0063015
18.943,0.0093332
14.216,0.014319
10.29,0.016425
6.0884,0.01517
19.741,0.005693
19.313,0.0074463
15.265,0.0094072
12.744,0.011957
9.4591,0.021629
7.2799,0.032846
5.6128,0.02892
20.333,0.011143
19.67,0.0088222
14.695,0.011794
11.422,0.014237
8.8812,0.015325
6.5404,0.036589
5.3616,0.028904
16.726,0.01382
13.724,0.01264
11.483,0.018153
8.9356,0.021109
5.7632,0.027347
5.1296,0.064586
19.003,0.004939
18.326,0.0070915
12.287,0.012816
8.4674,0.017289
5.5488,0.015632
21.237,0.0063015
18.943,0.0093332
14.216,0.014319
10.29,0.016425
6.0884,0.01517
19.741,0.005693
19.313,0.0074463
15.265,0.0094072
12.744,0.011957
9.4591,0.021629
7.2799,0.032846
5.6128,0.02892
20.333,0.011143
19.67,0.0088222
14.695,0.011794
11.422,0.014237
8.8812,0.015325
6.5404,0.036589
5.3616,0.028904
16.726,0.01382
13.724,0.01264
11.483,0.018153
8.9356,0.021109
5.7632,0.027347
5.1296,0.064586
